issue_description,label
The payment was deducted from my bank account but the transaction shows failed.,Complaint
I found a bug in the latest update affecting report generation.,Complaint
The application crashes whenever I try to upload a file.,Complaint
My subscription was cancelled without my request and I need clarification.,Complaint
The system is not syncing data across devices properly.,Sales Inquiry
There seems to be a discrepancy in my billing statement for this month.,Complaint
I would like to request a refund for the recent charge.,Complaint
Two-factor authentication codes are not being delivered to my phone.,Complaint
The payment was deducted from my bank account but the transaction shows failed.,Complaint
I am unable to access my account after entering the correct credentials.,Complaint
The application crashes whenever I try to upload a file.,Sales Inquiry
I am experiencing very slow performance while using the dashboard.,Complaint
I am experiencing very slow performance while using the dashboard.,Complaint
The application crashes whenever I try to upload a file.,Complaint
There seems to be a discrepancy in my billing statement for this month.,Sales Inquiry
The payment was deducted from my bank account but the transaction shows failed.,Complaint
I would like to request a refund for the recent charge.,Complaint
The application crashes whenever I try to upload a file.,Complaint
I would like to request a refund for the recent charge.,Complaint
The application crashes whenever I try to upload a file.,Complaint
I am unable to access my account after entering the correct credentials.,Complaint
I am unable to access my account after entering the correct credentials.,Complaint
The payment was deducted from my bank account but the transaction shows failed.,Complaint
I found a bug in the latest update affecting report generation.,Sales Inquiry
The system is not syncing data across devices properly.,Complaint
I am experiencing very slow performance while using the dashboard.,Complaint
My subscription was cancelled without my request and I need clarification.,Sales Inquiry
I found a bug in the latest update affecting report generation.,Complaint
I would like to request a refund for the recent charge.,Complaint
I would like to request a refund for the recent charge.,Complaint
The payment was deducted from my bank account but the transaction shows failed.,Complaint
There seems to be a discrepancy in my billing statement for this month.,Complaint
The system is not syncing data across devices properly.,Sales Inquiry
I would like to request a refund for the recent charge.,Complaint
I would like to request a refund for the recent charge.,Complaint
Two-factor authentication codes are not being delivered to my phone.,Complaint
I am experiencing very slow performance while using the dashboard.,Complaint
I am experiencing very slow performance while using the dashboard.,Complaint
The system is not syncing data across devices properly.,Complaint
There seems to be a discrepancy in my billing statement for this month.,Complaint
Two-factor authentication codes are not being delivered to my phone.,Complaint
I am unable to access my account after entering the correct credentials.,Complaint
I am unable to access my account after entering the correct credentials.,Complaint
The payment was deducted from my bank account but the transaction shows failed.,Complaint
There seems to be a discrepancy in my billing statement for this month.,Complaint
I would like to request a refund for the recent charge.,Complaint
I am unable to access my account after entering the correct credentials.,Complaint
The payment was deducted from my bank account but the transaction shows failed.,Complaint
The system is not syncing data across devices properly.,Complaint
Two-factor authentication codes are not being delivered to my phone.,Complaint
I would like to request a refund for the recent charge.,Complaint
I found a bug in the latest update affecting report generation.,Complaint
The system is not syncing data across devices properly.,Complaint
The payment was deducted from my bank account but the transaction shows failed.,Complaint
I found a bug in the latest update affecting report generation.,Complaint
Two-factor authentication codes are not being delivered to my phone.,Sales Inquiry
Two-factor authentication codes are not being delivered to my phone.,Complaint
I am experiencing very slow performance while using the dashboard.,Complaint
The payment was deducted from my bank account but the transaction shows failed.,Complaint
I am unable to access my account after entering the correct credentials.,Complaint
I would like to request a refund for the recent charge.,Complaint
The payment was deducted from my bank account but the transaction shows failed.,Complaint
The application crashes whenever I try to upload a file.,Sales Inquiry
My subscription was cancelled without my request and I need clarification.,Sales Inquiry
I would like to request a refund for the recent charge.,Complaint
The payment was deducted from my bank account but the transaction shows failed.,Complaint
I am experiencing very slow performance while using the dashboard.,Complaint
I am unable to access my account after entering the correct credentials.,Complaint
I would like to request a refund for the recent charge.,Complaint
There seems to be a discrepancy in my billing statement for this month.,Complaint
The system is not syncing data across devices properly.,Complaint
I am unable to access my account after entering the correct credentials.,Complaint
There seems to be a discrepancy in my billing statement for this month.,Complaint
I am experiencing very slow performance while using the dashboard.,Complaint
There seems to be a discrepancy in my billing statement for this month.,Complaint
I am unable to access my account after entering the correct credentials.,Sales Inquiry
Two-factor authentication codes are not being delivered to my phone.,Complaint
My subscription was cancelled without my request and I need clarification.,Sales Inquiry
The payment was deducted from my bank account but the transaction shows failed.,Complaint
I am unable to access my account after entering the correct credentials.,Sales Inquiry
My subscription was cancelled without my request and I need clarification.,Complaint
The application crashes whenever I try to upload a file.,Complaint
I am experiencing very slow performance while using the dashboard.,Complaint
The system is not syncing data across devices properly.,Complaint
The application crashes whenever I try to upload a file.,Complaint
I am unable to access my account after entering the correct credentials.,Complaint
I am unable to access my account after entering the correct credentials.,Complaint
My subscription was cancelled without my request and I need clarification.,Complaint
The payment was deducted from my bank account but the transaction shows failed.,Complaint
There seems to be a discrepancy in my billing statement for this month.,Complaint
I am experiencing very slow performance while using the dashboard.,Complaint
The payment was deducted from my bank account but the transaction shows failed.,Complaint
I would like to request a refund for the recent charge.,Sales Inquiry
I am experiencing very slow performance while using the dashboard.,Complaint
Two-factor authentication codes are not being delivered to my phone.,Complaint
I am experiencing very slow performance while using the dashboard.,Complaint
